Title;Release Date;Team;Rating;Number of Reviews;Genres;Summary;Plays;Price (Euros) 
Elden Ring;Feb 25, 2022;Bandai Namco Entertainment;4.5;3900;RPG;Elden Ring is a fantasy, action and open world...;17000;35,00
Hades;Dec 10, 2019;Supergiant Games;4.3;2900;Brawler;A rogue-lite hack and slash dungeon crawler in...;21000;22,00
The Legend of Zelda: Breath of the Wild;Mar 03, 2017;Nintendo;4.4;4300;RPG;The Legend of Zelda: Breath of the Wild is the...;30000;45,00
Undertale;Sep 15, 2015;tobyfox;4.2;3500;Indie;A small child falls into the Underground, wher...;28000;Free to play
Hollow Knight;Feb 24, 2017;Team Cherry;4.4;3000;Indie;;21000;69,00
Minecraft;Nov 18, 2011;Mojang Studios;4.3;2300;Simulator;Minecraft focuses on allowing the player to ex...;33000;69,00
Omori;Dec 25, 2020;OMOCAT;4.2;1600;Indie;A turn-based surreal horror RPG in which a chi...;7.200;Free to play
Metroid Dread;Oct 07, 2021;Nintendo;4.3;2100;Platform;Join intergalactic bounty hunter Samus Aran in...;9.200;56,00
Among Us;Jun 15, 2018;InnerSloth;3.0;867;Indie;Join your crew-mates in a multiplayer game of ...;25000;29,00
NieR: Automata;Feb 23, 2017;PlatinumGames;4.3;2900;Brawler;NieR: Automata tells the story of androids 2B,...;18000;69,00
Persona 5 Royal;Oct 31, 2019;Atlus;4.4;2700;RPG;An enhanced version of Persona 5 with some new...;12000;48,00
Stray;Jul 19, 2022;BlueTwelve Studio;3.7;1500;Indie;Lost, alone, and separated from family, a stra...;7.700;16,00
God of War;Apr 20, 2018;Sony Interactive Entertainment;4.2;2900;Brawler;God of War is the sequel to God of War III as ...;2100;Free to play
Portal 2;Apr 18, 2011;Valve;4.4;2900;Platform;Sequel to the acclaimed Portal (2007), Portal ...;2900;32,00
Bloodborne;Mar 24, 2015;Sony Computer Entertainment;4.5;3400;RPG;An action RPG in which the player embodies a H...;17000;54,00
Celeste;Jan 25, 2018;Extremely OK Games;4.2;2800;Indie;Help Madeline survive her inner demons on her ...;20000;37,00
Yakuza 0;Mar 12, 2015;Sega;4.4;2700;Brawler;The glitz, glamour, and unbridled decadence of...;15000;23,00
Red Dead Redemption 2;Oct 26, 2018;Rockstar Games;4.4;2900;RPG;Red Dead Redemption 2 is the epic tale of outl...;19000;10,00
Portal;Oct 10, 2007;Valve;4.1;2000;Platform;Waking up in a seemingly empty laboratory, the...;28000;69,00
Super Mario Odyssey;Oct 27, 2017;Nintendo;4.2;2900;Platform;Explore incredible places far from the Mushroo...;25000;12,00
Pokémon Legends: Arceus;Jan 28, 2022;Nintendo;3.7;1600;RPG;The Pokémon Legends: Arceus game honors past P…;9100;50,00
Hi-Fi Rush;Jan 25, 2023;Tango Gameworks;4.3;926;Brawler;As wannabe rockstar Chai, you’ll fight back ag...;3000;55,00
Metal Gear Rising: Revengeance;Feb 19, 2013;Konami;4.1;2100;Brawler;Developed by Kojima Productions and PlatinumGa...;14000;42,00
Grand Theft Auto V;Sep 17, 2013;Rockstar Games;3.8;2100;Shooter;Grand Theft Auto V is a vast open world game s...;30000;Free to play
Cyberpunk 2077;Dec 09, 2020;CD Projekt RED;3.3;1500;RPG;;13000;63,00
God of War Ragnarök;Nov 09, 2022;Sony Interactive Entertainment;4.4;1700;Brawler;God of War: Ragnarök is the ninth installment ...;5300;41,00
Xenoblade Chronicles 3;Jul 29, 2022;Nintendo;4.4;1400;RPG;A vast world awaits in Xenoblade Chronicles 3,...;3900;14,00
Kirby and the Forgotten Land;Mar 25, 2022;Nintendo;4.2;1600;Platform;Join Kirby in an unforgettable journey through...;5900;33,00
Disco Elysium: The Final Cut;May 01, 2020;;4.6;1100;Indie;Disco Elysium: The Final Cut is a groundbreaki...;6000;52,00
