SKU;Fecha;Cantidad;Tiempo de Producción;Bodega
L07;1/01/2003;464;19;All Out
L06;1/01/2003;208;6;All Out
L05;1/01/2003;421;19;All Out
L04;1/01/2003;425;6;All Out
L03;1/01/2003;423;8;All Out
L02;1/01/2003;416;10;All Out
L01;1/01/2003;245;5;All Out
CC02;1/01/2003;319;11;All Out
CC01;1/01/2003;271;3;All Out
CB01;1/01/2003;186;13;All Out
C14;1/01/2003;224;19;All Out
C13;1/01/2003;245;8;All Out
C12;1/01/2003;121;7;All Out
C11;1/01/2003;263;6;All Out
C10;1/01/2003;412;3;All Out
B06;1/01/2003;235;14;All Out
B05;1/01/2003;152;4;All Out
B04;1/01/2003;426;14;All Out
B03;1/01/2003;397;5;All Out
B02;1/01/2003;199;4;All Out
B01;1/01/2003;195;3;All Out
L07;1/02/2003;216;4;All Out
L06;1/02/2003;248;15;All Out
L05;1/02/2003;405;16;All Out
L04;1/02/2003;155;12;All Out
L03;1/02/2003;257;16;All Out
L02;1/02/2003;295;15;All Out
L01;1/02/2003;498;8;All Out
CC02;1/02/2003;229;20;All Out
CC01;1/02/2003;170;13;All Out
CB01;1/02/2003;339;5;All Out
C14;1/02/2003;450;19;All Out
C13;1/02/2003;498;4;All Out
C12;1/02/2003;220;20;All Out
C11;1/02/2003;208;16;All Out
C10;1/02/2003;144;8;All Out
B06;1/02/2003;422;8;All Out
B05;1/02/2003;339;7;All Out
B04;1/02/2003;496;17;All Out
B03;1/02/2003;168;3;All Out
B02;1/02/2003;111;12;All Out
B01;1/02/2003;452;11;All Out
L07;1/03/2003;420;5;All Out
L06;1/03/2003;387;6;All Out
L05;1/03/2003;360;20;All Out
L04;1/03/2003;198;2;All Out
L03;1/03/2003;442;4;All Out
L02;1/03/2003;409;7;All Out
L01;1/03/2003;190;7;All Out
CC02;1/03/2003;447;15;All Out
CC01;1/03/2003;195;17;All Out
CB01;1/03/2003;130;11;All Out
C14;1/03/2003;490;14;All Out
C13;1/03/2003;346;4;All Out
C12;1/03/2003;103;4;All Out
C11;1/03/2003;257;8;All Out
C10;1/03/2003;372;6;All Out
B06;1/03/2003;406;4;All Out
B05;1/03/2003;396;9;All Out
B04;1/03/2003;451;17;All Out
B03;1/03/2003;266;16;All Out
B02;1/03/2003;221;12;All Out
B01;1/03/2003;342;12;All Out
L07;1/04/2003;187;16;All Out
L06;1/04/2003;203;11;All Out
L05;1/04/2003;402;14;All Out
L04;1/04/2003;375;8;All Out
L03;1/04/2003;124;19;All Out
L02;1/04/2003;286;6;All Out
L01;1/04/2003;288;17;All Out
CC02;1/04/2003;453;17;All Out
CC01;1/04/2003;380;3;All Out
CB01;1/04/2003;109;9;All Out
C14;1/04/2003;207;8;All Out
C13;1/04/2003;457;8;All Out
C12;1/04/2003;160;6;All Out
C11;1/04/2003;273;6;All Out
C10;1/04/2003;100;11;All Out
B06;1/04/2003;494;20;All Out
B05;1/04/2003;403;12;All Out
B04;1/04/2003;135;9;All Out
B03;1/04/2003;344;10;All Out
B02;1/04/2003;279;10;All Out
B01;1/04/2003;392;5;All Out
