,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-09-05,99368.34242670001,82441.26468755784,97598.58584101603,96051.712069,103338.751517,-7754.045005645336,-11306.624958912915,-3948.583155952903,414.5503656320166,-317.43535284168195,1137.6657693852485,-8168.595371277352,-11943.979545044025,-4466.066340418025,0.0,0.0,0.0,91614.29742105467
1,2023-09-06,99304.28472307976,89249.01938448263,104972.70952811283,96040.49764610887,103191.37606541552,-4042.293493615046,-7879.6254691944705,-165.38000358481875,5095.034880812902,4392.123417726517,5971.917193060809,-9137.328374427949,-12946.42437103911,-5548.8306908849045,0.0,0.0,0.0,95261.99122946472
2,2023-09-07,99240.2270194595,89691.75330814005,102726.0101333696,96029.28322321773,103080.24414083103,-1427.7160057362346,-4896.14909064819,2165.8871281333577,8683.380987741351,7788.980586811681,9413.456337805916,-10111.096993477586,-13758.31905261005,-6765.769698898371,0.0,0.0,0.0,97812.51101372327
3,2023-09-08,99176.16931583926,85414.5410646312,96801.90150173544,96018.0688003266,102949.92489150415,-7272.319202480584,-11062.315111926573,-3465.0136831182044,3800.7001226183083,3170.592714765851,4522.986251146677,-11073.01932509889,-14958.960907330104,-7704.768319161479,0.0,0.0,0.0,91903.85011335867
4,2023-09-09,99112.111612219,87225.57257220057,99800.32879211754,95982.5687034299,102844.43585757064,-6080.643190290922,-9910.072873873565,-2715.6176720690087,5925.685808271033,5240.031374404647,6602.870373612607,-12006.328998561954,-15950.235828553525,-8624.417573861174,0.0,0.0,0.0,93031.46842192808
5,2023-09-10,99048.05390859875,68091.73612044545,81018.62582149073,95956.59769042104,102715.69154244044,-24083.010998631744,-28302.319860751257,-19993.05673300788,-11188.151764785009,-11970.757145686306,-10370.06499513695,-12894.859233846732,-16750.582898705263,-9293.373471849613,0.0,0.0,0.0,74965.04290996701
6,2023-09-11,98983.99620497851,66540.75006455302,77467.36256461393,95952.54281232964,102558.44862872854,-26454.70384497793,-30180.019902506887,-22342.311056615934,-12731.200400314767,-13656.483182765067,-11725.328452098676,-13723.503444663169,-17637.656633498762,-9815.97908840542,0.0,0.0,0.0,72529.29236000057
7,2023-09-12,98919.93850135827,79261.55595514945,92394.59763093566,95942.76377555126,102415.17727152244,-14064.087832277624,-18077.240817738253,-10228.035869582089,414.5503656262093,-317.4353528480312,1137.6657693809443,-14478.638197903838,-18743.702659328817,-10329.781532698635,0.0,0.0,0.0,84855.85066908064
8,2023-09-13,98855.880797738,84203.3663396619,95585.48969832563,95911.83930332134,102390.66637639613,-10053.460753292784,-14678.48236499505,-5790.539044497904,5095.034880810373,4392.123417722722,5971.917193058758,-15148.495634103157,-19392.34956690204,-11364.062575198814,0.0,0.0,0.0,88802.42004444523
9,2023-09-14,98791.82309411776,86782.19582079598,97645.76685084932,95886.51588399446,102271.06936757064,-7040.093157039819,-10869.406567043332,-3539.888101663196,8683.380987735063,7788.980586800283,9413.45633780047,-15723.474144774882,-20146.264934996652,-11753.227957412955,0.0,0.0,0.0,91751.72993707794
10,2023-09-15,98727.76539049752,81074.97672656218,93144.70697746884,95842.25499521606,102151.47235874514,-12395.67801490753,-16597.819830868808,-8142.968258443267,3800.700122619967,3170.5927147673005,4522.9862511453675,-16196.3781375275,-20414.826313835852,-12155.22690123347,0.0,0.0,0.0,86332.08737558998
11,2023-09-16,98663.70768687726,80707.70432992578,94843.90196600105,95797.99410643768,102031.87534991966,-10636.894225410419,-15231.682742511877,-6806.362565836497,5925.685808300634,5240.031374436285,6602.870373642163,-16562.580033711052,-20493.362937610993,-12269.25650191514,0.0,0.0,0.0,88026.81346146684
12,2023-09-17,98599.64998325701,65435.45251486383,76606.60789676217,95732.89431040443,101943.70519163158,-28008.251927574867,-32274.607905851113,-24115.09291215943,-11188.151764789698,-11970.757145690419,-10370.064995140323,-16820.100162785166,-20542.521170063897,-12783.77107973531,0.0,0.0,0.0,70591.39805568215
