pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2023-09-01,89276,110263.96,1276806.75,732888.5333333333,65751
2023-09-02,93982,112062.43,1198955.93,688208.4,63961
2023-09-03,86499,103670.07,1105305.6,623286.1166666667,59323
2023-09-04,72679,89044.48,925141.3,486316.35,51608
2023-09-05,99802,125552.34,1540935.85,897552.1666666666,78924
2023-09-06,114485,141650.92,1844221.48,1124816.9833333334,91117
2023-09-07,126533,156753.91,2059376.29,1273201.8666666667,100287
2023-09-08,124365,148088.32,1943639.53,1199228.2833333334,95452
2023-09-09,126584,147491.51,1787366.36,1107545.0333333334,90972
2023-09-10,110132,133160.3,1534774.05,897532.15,80282
2023-09-11,100830,125294.29,1610518.86,964476.8666666667,80573
2023-09-12,112245,141074.95,1848167.62,1131842.8666666667,90172
2023-09-13,113684,144238.89,1880362.43,1151620.4166666667,91818
2023-09-14,120449,152563.08,1977128.75,1217171.3666666667,96147
2023-09-15,118964,144082.78,1834881.01,1113179.8833333333,90881
2023-09-16,124993,146434.06,1740460.0,1061180.9166666667,89436
2023-09-17,91705,106286.74,1288169.89,756463.8333333334,67526
2023-09-18,87480,103607.3,1393636.29,832980.6833333333,69742
2023-09-19,98879,122074.68,1619020.09,988297.0,79270
2023-09-20,101350,125152.14,1650996.29,1002336.3666666667,80899
2023-09-21,38739,48265.04,636467.92,402893.95,32499
2023-09-22,4703,5097.96,92734.44,60287.916666666664,4424
2023-09-23,5535,6464.68,111160.33,71610.13333333333,5277
2023-09-24,4723,5538.31,90399.57,54416.26666666667,4511
2023-09-25,94133,113280.31,1356111.52,748655.2666666667,72262
2023-09-26,108400,133381.56,1777839.13,1098346.6166666667,87576
2023-09-27,116432,147509.39,1913052.94,1163964.1166666667,93566
2023-09-28,122979,149393.71,2012482.09,1245079.6666666667,98244
2023-09-29,95889,118415.43,1524252.85,901339.75,74648
2023-09-30,128516,154296.41,1776995.97,1066485.9833333334,92052
2023-10-01,105253,128634.98,1477922.16,862589.45,76988
2023-10-02,96707,123180.02,1513410.83,890340.55,76369
2023-10-03,112385,141619.35,1802203.94,1083119.4,89334
2023-10-04,118280,150132.93,1913664.64,1156774.0,94494
2023-10-05,121631,152324.39,1975204.89,1209477.5333333334,96391
2023-10-06,120150,143198.83,1824934.48,1104919.8833333333,90756
2023-10-07,129788,149083.3,1771967.23,1074422.9166666667,91654
2023-10-08,102158,121521.61,1402950.28,830207.0166666667,72782
2023-10-09,82658,102562.24,1170033.4,686837.4,63026
2023-10-10,107554,134319.12,1734241.07,1058402.1166666667,85145
2023-10-11,115520,145108.0,1879019.83,1150265.9666666666,91896
2023-10-12,121797,150361.33,2001774.61,1241944.3,96675
2023-10-13,122682,148135.83,1882646.64,1134519.6,92624
2023-10-14,134059,152095.79,1878620.45,1145432.7,96969
2023-10-15,108688,132505.81,1496046.5,870146.35,78597
2023-10-16,99771,126885.37,1570648.72,924382.6,78880
2023-10-17,113277,142986.69,1855025.99,1127395.6333333333,90761
2023-10-18,115983,146120.6,1924203.74,1194271.6833333333,92976
2023-10-19,124227,155822.94,2038516.03,1258512.9333333333,98723
2023-10-20,128097,149282.94,1975811.3,1216033.7,97315
2023-10-21,138206,162975.19,1910866.5,1162038.05,98314
2023-10-22,114129,141902.82,1556705.02,906409.7333333333,81690
2023-10-23,96786,124483.26,1503020.24,877374.25,76265
2023-10-24,110307,140735.08,1806071.23,1104930.9166666667,88238
2023-10-25,115605,146216.31,1902355.4,1169432.6833333333,92589
2023-10-26,127549,160274.07,2081352.99,1278908.3166666667,100848
2023-10-27,130310,156344.49,2005796.34,1219028.9,98690
2023-10-28,142115,164373.03,2034091.71,1257266.4,102153
