pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2023-09-03,269789,326037.65,3581465.58,2044612.3333333333,189053
2023-09-10,774580,941741.78,11635454.86,6986192.833333333,588642
2023-09-17,782870,959974.79,12179688.56,7395936.15,606553
2023-09-24,341409,416200.11,5594414.93,3412822.316666667,276622
2023-10-01,771602,944911.79,11838656.66,7086460.85,595336
2023-10-08,801099,981060.43,12204336.29,7349261.3,611780
2023-10-15,792958,965088.12,12042382.5,7287548.433333334,604932
2023-10-22,833690,1025976.55,12831777.3,7789044.333333333,638659
2023-10-29,838860,1030375.53,12954809.18,7852571.033333333,643674
2023-11-05,841134,1022938.51,12805134.84,7717199.916666667,641573
2023-11-12,842513,1034821.18,12925628.45,7903845.116666666,649886
2023-11-19,843565,1044037.36,13045220.77,7830830.116666666,653709
2023-11-26,669163,753793.0,9350633.25,5535672.766666667,483449
2023-12-03,818843,977411.17,12457792.53,7552503.116666666,625667
2023-12-10,881857,1063434.82,13500999.23,8202758.116666666,672453
2023-12-17,921333,1116508.02,14213451.33,8606242.3,704894
2023-12-24,776340,898836.71,11253890.2,6693571.166666667,577182
2023-12-31,578478,646689.94,7548111.24,4411423.116666666,394068
2024-01-07,650076,799276.23,9079098.07,5056718.6,481121
2024-01-14,715820,894199.59,10586781.99,6025038.783333333,554333
2024-01-21,711608,877295.56,10501742.05,5962777.866666666,554947
2024-01-28,739788,938730.58,11272947.98,6570808.616666666,582275
2024-02-04,733196,931401.89,11167267.32,6468649.2,578652
2024-02-11,753136,962875.82,11518886.35,6694905.383333334,592246
2024-02-18,751257,938468.52,11172723.74,6455558.033333333,583767
2024-02-25,740156,933244.08,10933220.21,6322422.433333334,571556
2024-03-03,794173,1016027.82,12275724.01,7255174.3,632791
2024-03-10,838032,1062358.82,12965672.66,7648906.033333333,668040
2024-03-17,831171,1083464.96,12863216.18,7601524.433333334,657963
2024-03-24,797228,1055998.39,12156849.16,7142045.933333334,634698
2024-03-31,801836,1053004.82,12042070.38,7195490.183333334,624566
2024-04-07,874760,1158379.54,13453263.07,8142663.716666667,692092
2024-04-14,845007,1149165.15,13041210.54,7743584.766666667,673231
2024-04-21,828892,1088490.17,12874906.68,7744324.466666667,655850
2024-04-28,760568,979715.12,11514079.91,6769068.133333334,591377
2024-05-05,847736,1114371.33,13148080.85,7798201.916666667,668479
2024-05-12,854254,1118674.69,13450801.46,8156953.083333333,678145
2024-05-19,881250,1161991.69,14118538.91,8558866.966666667,703560
2024-05-26,759398,990455.66,11689095.79,6951148.133333334,596345
2024-06-02,770785,996763.51,11767054.83,7049735.133333334,600860
2024-06-09,855235,1135554.96,13528424.12,8210314.15,682887
2024-06-16,823785,1089945.56,12708781.2,7394395.283333333,649908
2024-06-23,808560,1032482.77,12171240.54,7141821.2,628709
2024-06-30,786501,1025808.83,12353341.97,7423244.65,622490
2024-07-07,557510,691096.7,7739944.86,4396610.133333334,413061
2024-07-14,734945,944491.46,11162304.35,6660760.983333333,575762
2024-07-21,769882,1013960.83,11914977.35,7083661.583333333,608960
2024-07-28,716900,929016.07,10865658.52,6470456.5,555948
2024-08-04,729663,929005.11,11085052.73,6587276.6,569347
2024-08-11,694209,892107.94,10652686.93,6345388.483333333,545072
2024-08-18,649747,834644.35,9697601.11,5644427.75,503388
2024-08-25,625485,804600.84,9313993.24,5427056.75,482889
