,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-09-05,97883.977587,83109.46977405914,98065.71831762578,93670.67937900001,100024.88321100001,-7800.66604071006,-12024.415105375088,-4953.033248713333,280.3471491862977,-885.8599608419522,1275.7825196831213,-8081.013189896359,-12218.386099228814,-4908.678228724077,0.0,0.0,0.0,90083.31154628994
1,2023-09-06,97876.2486118559,91122.0043375648,106208.73042289069,93692.27602896233,99993.41640780249,-1622.5533872173942,-3544.642728573825,1601.3817231074258,6390.849398961755,5539.493128320834,7650.77931505564,-8013.402786179149,-11877.312445456702,-4695.453488737976,0.0,0.0,0.0,96253.6952246385
2,2023-09-07,97868.51963671182,88005.52604156898,105921.07546085518,93713.87267892464,99961.94960460499,1967.590506777556,-3626.532248881501,5919.403327114602,9947.752745949245,8585.419792815708,10830.477925213292,-7980.162239171688,-11558.756792619737,-4685.8116954429615,0.0,0.0,0.0,99836.11014348938
3,2023-09-08,97860.79066156773,83108.45628787941,101188.03045783553,93735.46932888699,99930.48280140749,-3937.3447059932064,-7243.924858250337,340.36286361667806,4036.5558993120067,3297.543351255685,5197.707736172813,-7973.900605305212,-11278.608079070624,-4765.399450719581,0.0,0.0,0.0,93923.44595557453
4,2023-09-09,97853.06168642364,90633.16117754996,105976.84474338338,93757.0659788493,99899.01599820997,-1346.2007359880545,-5437.06620227409,2339.445419368302,6640.345954483224,6106.98868413545,7173.290916607064,-7986.546690471277,-11233.214591771117,-4938.624369597427,0.0,0.0,0.0,96506.86095043558
5,2023-09-10,97845.33271127954,67301.01513963573,81304.76822693762,93778.66262881162,99867.54919501247,-21041.97602950245,-25067.902493761452,-18144.491854431697,-13032.28511856731,-13562.490284831005,-11878.784838019641,-8009.69091093514,-11595.484279119028,-4997.332244545143,0.0,0.0,0.0,76803.35668177709
6,2023-09-11,97837.60373613545,68319.27974990413,83466.91005267524,93800.25927877396,99836.08239181495,-22298.49085018567,-26393.06999653127,-19401.03210942336,-14263.566029351616,-14925.124192042636,-13786.642476887457,-8034.924820834052,-11721.478919594336,-4536.124634483827,0.0,0.0,0.0,75539.11288594978
7,2023-09-12,97829.87476099137,81440.8902581875,97252.95379584486,93821.85592873629,99804.61558861745,-7773.81936991346,-11001.593178877765,-3086.10036225215,280.34714917943194,-885.8599608419568,1275.7825196794925,-8054.166519092891,-11044.498769553316,-4011.7517081965643,0.0,0.0,0.0,90056.05539107791
8,2023-09-13,97822.14578584727,87805.97379804289,100463.61821637377,93843.45257869862,99773.14878541995,-1669.111476194897,-4057.0255654226403,2976.264101337526,6390.849398958623,5539.493128318936,7650.779315051044,-8059.960875153522,-10439.172140163651,-3697.4399054870446,0.0,0.0,0.0,96153.03430965237
9,2023-09-14,97814.41681070319,90971.9043917032,107340.9519423309,93865.04922866094,99741.68198222245,1902.0081476181736,-2237.4718190687404,7101.8753343235185,9947.752745940199,8585.419792800702,10830.477925198014,-8045.744598322024,-9870.66724489334,-3750.2038194892402,0.0,0.0,0.0,99716.42495832137
10,2023-09-15,97806.68783555909,88068.74654835631,98069.77158340525,93886.64587862327,99710.21517902493,-3969.511681344372,-6721.797494663769,-118.26503341990156,4036.555899313213,3297.54335125726,5197.707736174957,-8006.067580657584,-9701.846121942115,-3857.133785566619,0.0,0.0,0.0,93837.17615421471
11,2023-09-16,97798.95886041499,90289.46555664917,108294.57438041404,93908.2425285856,99678.74837582742,-1296.4176646533729,-4104.4925919629695,3348.013386402249,6640.345954516588,6106.988684171303,7173.290916645039,-7936.763619169959,-9983.653044554372,-4003.071157436151,0.0,0.0,0.0,96502.54119576162
12,2023-09-17,97791.22988527089,68667.15241672948,81314.62182481657,93929.83917854793,99647.28157262992,-20867.350630716224,-23540.07348498405,-17394.2830666447,-13032.28511857286,-13562.490284836109,-11878.784838028776,-7835.0655121433665,-10199.001610605523,-4055.871057957018,0.0,0.0,0.0,76923.87925455466
13,2023-09-18,97775.92440901791,67614.35253986818,80814.78532339094,93934.62954711274,99610.21482830775,-21963.227591859904,-24865.651732160943,-17980.576772566325,-14263.566029375967,-14925.12419206501,-13786.642476903078,-7699.661562483941,-10342.6579422211,-3447.1859890474752,0.0,0.0,0.0,75812.69681715801
14,2023-09-19,97760.61893276493,81637.58587951076,98190.8539133261,93939.41991567757,99573.1480839856,-7250.345490362163,-10798.578662260232,-3460.4990336673227,280.34714922056,-885.859960810008,1275.7825197171846,-7530.692639582725,-10411.556367800986,-3186.8235239001538,0.0,0.0,0.0,90510.27344240277
15,2023-09-20,97745.31345651194,91186.7847979197,106426.45057805847,93944.21028424238,99536.08133966345,-938.8416803700247,-5476.515554698186,4194.345569259328,6390.849398974339,5539.493128331003,7650.77931507282,-7329.691079344365,-10404.780406889624,-3001.4203463027184,0.0,0.0,0.0,96806.47177614192
