,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-09-05,623255.2530700401,94364.35628676183,105336.41940290389,308938.61934,947815.42197,-523021.65518911433,-849281.9238208381,-209379.31674333962,-514018.0883778737,-838354.5803230066,-199004.81569417258,266.23054238323357,-417.9134841598251,866.0564715236111,-9269.797353623891,-12650.655950128603,-6118.984241974767,0.0,0.0,0.0,100233.59788092581
1,2023-09-06,623164.6243894482,100631.07486252359,111077.76613710447,308799.43575295014,947754.2415720216,-518587.11049835605,-844744.5694737859,-204971.99518279068,-514018.0883594781,-838354.5803184172,-199004.81565982092,5769.321224320229,5060.470905718754,6468.614036729801,-10338.343363198155,-13750.434543534346,-7257.542572167574,0.0,0.0,0.0,104577.51389109215
2,2023-09-07,623073.9957088563,101198.58337985458,112697.90148670087,308660.2521659003,947693.0611740432,-515558.6662668136,-840606.9470181577,-203228.96961884818,-514018.0883646839,-838354.5803218867,-199004.81567307608,9867.114547255824,9210.163560608224,10416.297567004818,-11407.692449385577,-14786.265347943609,-8100.385882208695,0.0,0.0,0.0,107515.32944204268
3,2023-09-08,622983.3670282642,94254.29967190017,107049.11276038141,308521.0685788505,947631.8807760648,-522613.09273233294,-847980.4776544038,-206859.0152082484,-514018.08836988953,-838354.5803253561,-199004.8156863314,3865.130429589172,3307.4001099508114,4399.179374856658,-12460.134792032597,-15837.3314010962,-8997.175151207437,0.0,0.0,0.0,100370.27429593127
4,2023-09-09,622892.7383476723,95466.80067534551,107998.83624059844,308381.8849918005,947570.7003780864,-520371.9937547074,-846035.7015199559,-206123.03787373763,-514018.0883715465,-838354.5803218861,-199004.81568310282,7124.262628605783,6401.616924502027,7893.188178683746,-13478.168011766738,-17076.75110176932,-9710.532886026751,0.0,0.0,0.0,102520.74459296488
5,2023-09-10,622802.1096670803,76849.76223246298,88734.52888590422,308242.7014047507,947509.519980108,-540568.0439136408,-864920.6793221674,-226875.18325011723,-514018.08837675216,-838354.5803253556,-199004.8156963581,-12104.955609770246,-12898.652081075441,-11291.247827426832,-14444.999927118417,-18009.20403450844,-10651.297643189268,0.0,0.0,0.0,82234.06575343956
6,2023-09-11,622711.4809864884,74841.77109194768,85283.33040467542,308103.51781770086,947448.3395821296,-544150.2165400531,-869312.1522445356,-230477.74483423194,-514018.0883819578,-838354.5803288252,-199004.81570961326,-14787.103762409693,-15472.98499701067,-13974.636400406642,-15345.024395685617,-18979.500507985213,-11327.249896015845,0.0,0.0,0.0,78561.26444643526
7,2023-09-12,622620.8523058963,85721.01395404589,97710.81484391732,307922.981265349,947387.1591841513,-529916.1133562991,-853696.4844247163,-215477.3482787586,-514018.0883836146,-838354.5803253552,-199004.81570638483,266.2305423766078,-417.9134841646196,866.0564715149092,-16164.255515061059,-19759.689075702692,-12074.024673898137,0.0,0.0,0.0,92704.73894959723
8,2023-09-13,622530.2236253044,91975.37543603223,102869.97299883842,307691.4331803989,947325.9787861728,-525139.4740257456,-849018.9375571348,-210137.25224603448,-514018.0883652191,-838354.5803207655,-199004.81567203306,5769.321224317514,5060.470905714552,6468.61403672932,-16890.706884844014,-20469.160839219017,-12574.767558026939,0.0,0.0,0.0,97390.74959955877
9,2023-09-14,622439.5949447126,94990.55831439477,105267.32762350803,307459.88509544876,947264.7983881945,-521665.6782929931,-844746.794440897,-207805.98117259506,-514018.0883704248,-838354.580324235,-199004.81568528837,9867.114547248671,9210.163560600027,10416.297567000141,-17514.704469816927,-21122.677172976277,-13168.26625199389,0.0,0.0,0.0,100773.91665171948
10,2023-09-15,622348.9662641207,88890.33498039706,99360.1006888735,307228.3370104986,947203.6179902161,-528182.0817430298,-851540.6175234088,-212391.17092058808,-514018.08837563056,-838354.5803277047,-199004.81569854348,3865.1304295915006,3307.400109956163,4399.179374860188,-18029.12379699065,-21838.435736847245,-13635.454284993857,0.0,0.0,0.0,94166.88452109089
11,2023-09-16,622258.3375835287,91233.21218934722,102489.22199785145,306996.7889255485,947071.5895769435,-525323.370444275,-848474.4660786686,-209859.85899712145,-514018.0883772874,-838354.5803242346,-199004.81569531508,7124.262628636549,6401.61692453355,7893.18817871086,-18429.544695624143,-22228.483647036144,-14045.123994303634,0.0,0.0,0.0,96934.96713925374
12,2023-09-17,622167.7089029367,70349.83205928776,83094.63353672065,306765.24084059836,946920.2879612112,-544837.3634395853,-867795.2242224391,-230662.8360334098,-514018.0883588918,-838354.580319645,-199004.81566096324,-12104.955609775683,-12898.652081080032,-11291.247827434174,-18714.319470917886,-22462.406008680362,-14286.844595640827,0.0,0.0,0.0,77330.34546335135
