,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-09-30,4410667.691053315,966645.9382163901,3238926.220225677,-3989829.3045750004,12327701.0458625,-2124277.470241283,-9093264.541156154,7368821.038768541,-2096582.9961464652,-9096273.550045757,6400996.54523668,-6807902.703665836,-23107420.93931917,10751676.806386802,6780208.229571016,-9952049.128752273,19814644.24134986,0.0,0.0,0.0,2286390.220812032
1,2023-10-31,4221271.318256251,2344997.841198617,3956539.865489148,-4366328.378498186,12314579.645705022,-1146962.1310329235,-8967862.633845683,8233915.761730512,-2096582.9961615873,-9096273.5506827,6400996.544427112,-2128594.124171549,-24174907.31769767,22251766.26095651,3078214.989300213,-18338019.50316749,27419560.13172356,0.0,0.0,0.0,3074309.1872233273
2,2023-11-30,4038964.578372446,2015106.133989682,3919671.199841216,-4677003.198934991,11986148.8282056,-1247082.702149991,-9196330.291167133,6365352.041836929,-2096582.9962207237,-9096273.551020024,6400996.544332056,8420215.936740117,-2800976.012407886,20454629.907816797,-7570715.642669383,-21685637.810603216,4805584.835853129,0.0,0.0,0.0,2791881.876222455
3,2023-12-31,3846749.6201451677,2568938.7282946003,4151820.0632002144,-4575238.15908912,12069576.483443122,-707224.5537096151,-9043351.276163125,8462501.593340544,-2096582.9961308087,-9096273.55035574,6400996.544692476,-943852.1093610076,-10603563.196100432,4801589.550374411,2333210.551782201,-5907777.5607761955,11545997.445871199,0.0,0.0,0.0,3139525.0664355527
4,2024-01-31,3655381.658214978,1631751.2769461633,3618937.42054297,-4479716.283017321,11018129.408490926,-1128073.9316921304,-8418874.489055973,7288981.02422986,-2096582.996040893,-9096273.549691454,6400996.545052903,9791401.870115994,-1391985.6237908688,17167119.89601022,-8822892.805767233,-14900309.095347697,-123191.94676737887,0.0,0.0,0.0,2527307.7265228475
5,2024-02-29,3476244.083577558,1583123.58883521,3316557.9154785974,-4388276.990039533,9775368.984130928,-1197630.855597949,-7607060.262906676,6500145.985531988,-2096582.996249084,-9096273.55103039,6400996.544502362,8420215.936706563,-2800976.0124455146,20454629.907839254,-7521263.796055426,-23128726.401066333,6321414.191167235,0.0,0.0,0.0,2278613.227979609
6,2024-03-31,3284475.235526436,2068690.0083779264,3783791.129564395,-4167117.63781685,8763006.94888065,-229676.9857002907,-6395977.014027687,7063031.424810419,-2096582.9961591694,-9096273.55036611,6400996.544862779,-943852.1093663252,-10603563.196120592,4801589.550432618,2810758.119825204,-4757389.473461339,11931861.4237164,0.0,0.0,0.0,3054798.2498261454
7,2024-04-30,3097316.7019042205,1686717.9904538528,4227604.236537676,-4162672.0458663832,8013583.662388784,-194476.89109514665,-5434400.459771295,6988029.643620641,-2096582.9962183062,-9096273.55070343,6400996.544767723,-2128594.124207724,-24174907.317520168,22251766.26076785,4030700.229330882,-12589810.886869546,21434519.799035683,0.0,0.0,0.0,2902839.810809074
8,2024-05-31,2908421.820397826,2417159.7188863577,4520618.410302229,-4687302.845884452,7570228.292629009,316545.8719978377,-4941580.458842445,8304923.3097434845,-2096582.9961283912,-9096273.550039148,6400996.545128144,3182751.718296997,-15410975.375890134,25211983.980206564,-769622.8501707682,-17180777.091627225,17761049.208140936,0.0,0.0,0.0,3224967.692395664
9,2024-06-30,2722308.8321390687,2159278.7128239293,4212158.00699665,-5097857.563047825,7388585.546882218,422808.72950994043,-4685499.349813545,8143678.937498067,-2096582.9961875277,-9096273.550376475,6400996.54503309,-943852.1093632475,-10603563.196096594,4801589.550304694,3463243.835060716,-4922099.213932871,10361827.889361398,0.0,0.0,0.0,3145117.561649009
10,2024-07-31,2529992.0776050203,1681750.6961130127,3362328.833759569,-6961282.022421506,7200888.042943867,5852.228940233464,-5138037.286861042,9303292.67510835,-2096582.9960976136,-9096273.549712192,6400996.54539351,9791401.870103123,-1391985.6238225652,17167119.89601115,-7688966.645065274,-16241847.833238482,555144.18906,0.0,0.0,0.0,2535844.306545254
11,2024-08-31,2337675.3230709713,1447300.900500626,3525294.792561198,-6812244.291774822,7013190.539005516,-69546.11799365393,-5224656.119689161,9027231.784557482,-2096582.996112735,-9096273.550349135,6400996.544583939,-6807902.703660944,-23107420.939453773,10751676.806409765,8834939.581780022,-9447486.688632589,32319819.74230538,0.0,0.0,0.0,2268129.2050773175
12,2024-09-30,2151562.3348122146,-29480331.04562851,47173400.581906095,-6308047.6364493845,6829348.686282526,-4245340.306689023,-41917969.67546794,47089960.79959743,-2096582.9961718726,-9096273.55068646,6400996.544488883,-11514020.587952549,-33250260.891187757,25115815.718976706,9365263.277435396,-11989180.894011755,25676924.507701147,0.0,0.0,0.0,-2093777.9718768084
13,2024-10-31,1959245.580278165,-37622184.48076768,47011772.1187983,-6011627.95605842,7027307.879642166,5846137.940177988,-29408246.927240618,41571995.33030096,-2096582.9960819571,-9096273.550022174,6400996.544849304,8420215.936727757,-2800976.0123886,20454629.90783158,-477495.0004678108,-24871506.671033125,24049573.541861407,0.0,0.0,0.0,7805383.520456153
14,2024-11-30,1773132.5920194082,-39709386.359393254,12497261.835568449,-6320438.868373208,7157658.295122807,-16819583.34063471,-32279792.553503416,-1539864.6797298214,-2096582.9961410945,-9096273.550359499,6400996.544754249,-6807902.703660797,-23107420.939414233,10751676.806396788,-7915097.640832822,-25211549.36616823,5820016.025657813,0.0,0.0,0.0,-15046450.748615302
15,2024-12-31,1580815.8374853593,-11563431.529303739,15339052.268253082,-6792516.764664958,7289808.115901335,-340803.70804015297,-19502828.311038107,21108248.929699883,-2096582.9961562161,-9096273.550996443,6400996.54394468,-2128594.1241650013,-24174907.31771959,22251766.26098832,3884373.412281065,1965.689240791602,11350125.790141847,0.0,0.0,0.0,1240012.1294452064
16,2025-01-31,1388499.0829513106,-30449048.724613067,11472586.895991819,-7530504.8625696115,7421304.298894668,-8050516.290554123,-32641931.623379447,17707783.22883977,-2096582.996066301,-9096273.550332159,6400996.544305095,3182751.718318047,-15410975.375912039,25211983.98031217,-9136685.01280587,-14651352.971644815,503153.0312012805,0.0,0.0,0.0,-6662017.207602812
