,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-09-17,-498105.8859292682,630372.8509472875,694009.4188867895,-2863864.670895,1955123.9427299998,1157931.7951709386,-1293436.0280262118,3451561.254358924,1256662.1354912054,-1223067.5291549505,3463323.502378149,-98730.34032026665,-543438.0902180327,440138.92345851334,0.0,0.0,0.0,659825.9092416704
1,2023-09-24,-501958.27268978563,579673.9524331483,637511.8940225656,-2852922.3493177826,1954486.417898413,1110938.3187108845,-1345594.26902093,3453976.101372227,1256662.1354796574,-1223067.5291689667,3463323.5023672166,-145723.81676877302,-609235.2454575789,376101.2429602451,0.0,0.0,0.0,608980.046021099
2,2023-10-01,-505741.2158125665,595147.7366610537,654176.3444577486,-2857688.4979823316,1943530.9699427737,1131163.1950826636,-1323659.8758976262,3496733.965042544,1256662.1355018502,-1223067.5291321957,3463323.5023953277,-125498.94041918652,-577863.255962069,355059.87026496057,0.0,0.0,0.0,625421.9792700971
3,2023-10-08,-509524.15893534734,636798.634227523,693169.0385273866,-2862454.6466468805,1932575.5219871348,1172758.3355886214,-1261997.11515509,3531576.8249897743,1256662.1355116016,-1223067.5291326884,3463323.502395656,-83903.7999229802,-500900.4513987722,373406.02271056664,0.0,0.0,0.0,663234.1766532741
4,2023-10-15,-513298.6107199518,653055.2657178997,713510.7605586238,-2868449.373197628,1921311.4116486947,1195701.2861142673,-1231570.9792242434,3542540.160164289,1256662.135533795,-1223067.5290959189,3463323.5024237665,-60960.84941952759,-447977.0017995937,378486.9926671006,0.0,0.0,0.0,682402.6753943155
5,2023-10-22,-516936.5689321007,655533.1636805425,707676.6183722122,-2874250.5947583,1918307.9847732976,1201217.8327162575,-1248692.0537623572,3544270.9798327177,1256662.135488505,-1223067.529160723,3463323.5023737904,-55444.302772247356,-425455.2407537638,362473.52996008954,0.0,0.0,0.0,684281.2637841569
6,2023-10-29,-520574.5271442496,664500.3514894492,720446.999355901,-2880051.816318972,1912643.1888006849,1211223.7988792958,-1231657.426743084,3557921.55866633,1256662.135510698,-1223067.5291239521,3463323.502401901,-45438.33663140212,-391339.79478807724,357977.05711237225,0.0,0.0,0.0,690649.2717350463
7,2023-11-05,-524196.59982873284,682305.4080859021,737088.5043671943,-2884635.4550833665,1910703.7930510393,1229123.5186395757,-1213532.0027531742,3581710.8699828237,1256662.135486708,-1223067.5291752345,3463323.5023631863,-27538.616847132536,-355624.96377024753,348511.14300228714,0.0,0.0,0.0,704926.9188108428
8,2023-11-12,-527825.5744998812,682243.0777917114,736128.5556220121,-2889643.3152405964,1928399.6522056046,1236774.4128841034,-1215373.6062824223,3595775.277788613,1256662.1355089014,-1223067.5291384624,3463323.5023912974,-19887.722624798043,-330931.2573865231,334070.1247303464,0.0,0.0,0.0,708948.8383842221
9,2023-11-19,-531454.5491710297,670469.1763529335,725634.2163719621,-2894651.1753978264,1932218.050444103,1227467.990970471,-1216082.384951762,3593482.060338564,1256662.1355310944,-1223067.5291016912,3463323.502419409,-29194.144560623496,-327550.21455744037,313105.21198553784,0.0,0.0,0.0,696013.4417994412
10,2023-11-26,-534972.4689099927,663703.1593954281,713954.2215813843,-2899680.2956380155,1942194.043035479,1223312.602558836,-1253480.9219798055,3584830.832095383,1256662.1354858042,-1223067.5291664961,3463323.5023694322,-33349.532926968386,-307911.39797417854,289755.3207693643,0.0,0.0,0.0,688340.1336488434
11,2023-12-03,-538489.3303682319,681934.1143033019,734637.5605527358,-2899839.0412923116,1953093.9844126212,1246674.0136551638,-1237296.5161171004,3595684.827045788,1256662.1355079974,-1223067.5291297247,3463323.5023975433,-9988.121852833645,-266112.6824609307,263690.6857183914,0.0,0.0,0.0,708184.683286932
12,2023-12-10,-542006.1918264709,713076.279060436,759722.0428547376,-2893627.7238619057,1954784.688977743,1281148.6605787433,-1210624.5555503666,3631702.9479336534,1256662.135496449,-1223067.5291437423,3463323.502386611,24486.525082294225,-210695.1560039714,290733.50346999994,0.0,0.0,0.0,739142.4687522724
13,2023-12-17,-545600.4169779479,715884.2584677847,765701.2620512986,-2889262.8014699123,1942643.537466373,1278875.9870722801,-1208051.5281793645,3622008.0828130506,1256662.1355062008,-1223067.529144235,3463323.5023869392,22213.85156607964,-189817.90065712863,261443.47364621557,0.0,0.0,0.0,733275.5700943322
14,2023-12-24,-549030.1031022778,637737.0260058849,694044.7758145217,-2884686.59227614,1910360.837309626,1214962.9403307484,-1246584.0839832406,3552928.721870655,1256662.1354946522,-1223067.5291582525,3463323.502376007,-41699.195163903496,-231777.748252795,174430.89570045698,0.0,0.0,0.0,665932.8372284706
15,2023-12-31,-552453.8746049649,542093.7756494561,594063.829528386,-2880298.8743636687,1913019.5740549425,1125581.5300118402,-1320815.7274496085,3462946.651491279,1256662.1355168452,-1223067.5291214804,3463323.5024041175,-131080.60550500508,-306807.29365113255,59878.20132759755,0.0,0.0,0.0,573127.6554068753
16,2024-01-07,-555877.646107652,494336.59997599234,553394.3869541929,-2875911.1564511973,1898046.1737179775,1078599.133462448,-1367678.7116371642,3391629.3980224147,1256662.1355052965,-1223067.5291354985,3463323.502393185,-178063.00204284853,-327435.3228439719,-14240.877629358194,0.0,0.0,0.0,522721.4873547959
17,2024-01-14,-559263.3458875527,521250.8619004629,578893.0631152126,-2867055.9582829666,1899481.5005305042,1104687.0295451547,-1353615.0550776767,3388576.6911411854,1256662.1355274897,-1223067.529098727,3463323.5024212957,-151975.1059823353,-283964.2599000549,-16115.130354440022,0.0,0.0,0.0,545423.6836576019
18,2024-01-21,-562720.3442412196,572278.7645352245,628004.4439980356,-2853722.3426002627,1892182.5263801778,1166761.7115197743,-1282472.3279881426,3430065.5585563486,1256662.1354822,-1223067.5291635313,3463323.5023713205,-89900.42396242592,-204627.46311398403,30094.52068642198,0.0,0.0,0.0,604041.3672785547
19,2024-01-28,-566177.3425948863,607683.332905652,660244.1737652527,-2840388.7269175593,1881295.2435594196,1202982.0131124665,-1235641.9013788581,3457318.730889801,1256662.1355043934,-1223067.5291267612,3463323.502399432,-53680.12239192661,-146402.52461150623,45621.76705335072,0.0,0.0,0.0,636804.6705175802
20,2024-02-04,-569583.1305583187,595633.4601379398,649453.7816528913,-2827841.3333272664,1886036.2584357075,1193154.9647555856,-1253765.6503389939,3438122.6547927973,1256662.1355141448,-1223067.5291272542,3463323.5023997594,-63507.17075855897,-127407.54675616173,5290.9404586665105,0.0,0.0,0.0,623571.834197267
21,2024-02-11,-572871.7795994296,572224.8408255682,626538.5356400957,-2815062.759884266,1881152.337253748,1173102.7253883362,-1279261.4315072894,3403228.7542475997,1256662.1355025962,-1223067.5291412713,3463323.5023888266,-83559.41011425968,-133777.38555769858,-35850.63558220533,0.0,0.0,0.0,600230.9457889067
22,2024-02-18,-576160.4286405405,580701.7736613747,634550.4153972862,-2802284.1864412664,1866720.1469256398,1185556.403715129,-1252049.9851926262,3388881.019743663,1256662.1354910478,-1223067.529155287,3463323.5023778947,-71105.73177591871,-101387.75090253279,-40600.19912555504,0.0,0.0,0.0,609395.9750745886
23,2024-02-25,-579425.2191489381,622568.533046953,675703.7461198356,-2781606.483860431,1890417.5578507122,1230112.3872979898,-1231004.4824674318,3385709.8111267462,1256662.1355007996,-1223067.529155781,3463323.502378222,-26549.748202809784,-45729.06876259297,-7093.790037629253,0.0,0.0,0.0,650687.1681490517
